key_point_id,topic,key_point
1,We_should_abolish_the_right_to_keep_and_bear_arms,Gun ownership is a right
2,We_should_abolish_the_right_to_keep_and_bear_arms,Gun ownership is a right
3,We_should_abolish_the_right_to_keep_and_bear_arms,Gun ownership is a right
4,We_should_abolish_the_right_to_keep_and_bear_arms,Gun ownership is a right
5,We_should_abolish_the_right_to_keep_and_bear_arms,Gun ownership is a right
6,We_should_abolish_the_right_to_keep_and_bear_arms,Gun ownership is a right
7,We_should_abolish_the_right_to_keep_and_bear_arms,Gun ownership is a right
8,We_should_abolish_the_right_to_keep_and_bear_arms,Gun ownership is a right
9,We_should_close_Guantanamo_Bay_detention_camp,unjust treatment/tactics are used in the Guantanamo bay detention camp
10,We_should_close_Guantanamo_Bay_detention_camp,unjust treatment/tactics are used in the Guantanamo bay detention camp
11,We_should_close_Guantanamo_Bay_detention_camp,unjust treatment/tactics are used in the Guantanamo bay detention camp
12,We_should_close_Guantanamo_Bay_detention_camp,unjust treatment/tactics are used in the Guantanamo bay detention camp
13,We_should_close_Guantanamo_Bay_detention_camp,unjust treatment/tactics are used in the Guantanamo bay detention camp
14,We_should_close_Guantanamo_Bay_detention_camp,unjust treatment/tactics are used in the Guantanamo bay detention camp
15,We_should_close_Guantanamo_Bay_detention_camp,unjust treatment/tactics are used in the Guantanamo bay detention camp
16,We_should_close_Guantanamo_Bay_detention_camp,unjust treatment/tactics are used in the Guantanamo bay detention camp
17,We_should_close_Guantanamo_Bay_detention_camp,unjust treatment/tactics are used in the Guantanamo bay detention camp
18,We_should_introduce_compulsory_voting,Abstaining from a vote is also reflecting your preferences
19,We_should_introduce_compulsory_voting,Abstaining from a vote is also reflecting your preferences
20,We_should_introduce_compulsory_voting,Abstaining from a vote is also reflecting your preferences
21,We_should_introduce_compulsory_voting,Abstaining from a vote is also reflecting your preferences
22,We_should_introduce_compulsory_voting,Abstaining from a vote is also reflecting your preferences
23,We_should_introduce_compulsory_voting,Abstaining from a vote is also reflecting your preferences
24,We_should_introduce_compulsory_voting,Abstaining from a vote is also reflecting your preferences
25,Assisted_suicide_should_be_a_criminal_offence,People do not have the right to self-harm/harm others
26,Assisted_suicide_should_be_a_criminal_offence,People do not have the right to self-harm/harm others
27,Assisted_suicide_should_be_a_criminal_offence,People do not have the right to self-harm/harm others
28,Assisted_suicide_should_be_a_criminal_offence,People do not have the right to self-harm/harm others
29,Assisted_suicide_should_be_a_criminal_offence,People do not have the right to self-harm/harm others
30,Assisted_suicide_should_be_a_criminal_offence,People do not have the right to self-harm/harm others
31,Assisted_suicide_should_be_a_criminal_offence,People do not have the right to self-harm/harm others
32,Assisted_suicide_should_be_a_criminal_offence,People do not have the right to self-harm/harm others
33,Assisted_suicide_should_be_a_criminal_offence,People do not have the right to self-harm/harm others
34,Assisted_suicide_should_be_a_criminal_offence,People do not have the right to self-harm/harm others
35,We_should_legalize_sex_selection,It is unethical/unhealthy for parents to intervene
36,We_should_legalize_sex_selection,It is unethical/unhealthy for parents to intervene
37,We_should_legalize_sex_selection,It is unethical/unhealthy for parents to intervene
38,We_should_legalize_sex_selection,It is unethical/unhealthy for parents to intervene
39,We_should_legalize_sex_selection,It is unethical/unhealthy for parents to intervene
40,We_should_legalize_sex_selection,It is unethical/unhealthy for parents to intervene
41,We_should_legalize_sex_selection,It is unethical/unhealthy for parents to intervene
42,We_should_legalize_sex_selection,It is unethical/unhealthy for parents to intervene
43,We_should_legalize_sex_selection,It is unethical/unhealthy for parents to intervene
44,We_should_legalize_sex_selection,It is unethical/unhealthy for parents to intervene
45,We_should_legalize_sex_selection,It is unethical/unhealthy for parents to intervene
46,We_should_abolish_capital_punishment,The death penalty is a waste of resources
47,We_should_abolish_capital_punishment,The death penalty is a waste of resources
48,We_should_abolish_capital_punishment,The death penalty is a waste of resources
49,We_should_abolish_capital_punishment,The death penalty is a waste of resources
50,We_should_abolish_capital_punishment,The death penalty is a waste of resources
51,We_should_abolish_capital_punishment,The death penalty is a waste of resources
52,We_should_abolish_capital_punishment,The death penalty is a waste of resources
53,We_should_abolish_capital_punishment,The death penalty is a waste of resources
54,We_should_abolish_capital_punishment,The death penalty is a waste of resources
55,We_should_abolish_capital_punishment,The death penalty is a waste of resources
56,We_should_legalize_cannabis,Cannabis is financially beneficial
57,We_should_legalize_cannabis,Cannabis is financially beneficial
58,We_should_legalize_cannabis,Cannabis is financially beneficial
59,We_should_legalize_cannabis,Cannabis is financially beneficial
60,We_should_legalize_cannabis,Cannabis is financially beneficial
61,We_should_legalize_cannabis,Cannabis is financially beneficial
62,We_should_legalize_cannabis,Cannabis is financially beneficial
63,We_should_legalize_cannabis,Cannabis is financially beneficial
64,We_should_legalize_cannabis,Cannabis is financially beneficial
65,We_should_legalize_cannabis,Cannabis is financially beneficial
66,We_should_legalize_cannabis,Cannabis is financially beneficial
67,We_should_fight_for_the_abolition_of_nuclear_weapons,Nuclear weapons is essential for protection and deterrence
68,We_should_fight_for_the_abolition_of_nuclear_weapons,Nuclear weapons is essential for protection and deterrence
69,We_should_fight_for_the_abolition_of_nuclear_weapons,Nuclear weapons is essential for protection and deterrence
70,We_should_legalize_prostitution,Legalizing sex work will make the profession safer for women
71,We_should_legalize_prostitution,Legalizing sex work will make the profession safer for women
72,We_should_legalize_prostitution,Legalizing sex work will make the profession safer for women
73,We_should_legalize_prostitution,Legalizing sex work will make the profession safer for women
74,We_should_legalize_prostitution,Legalizing sex work will make the profession safer for women
75,We_should_legalize_prostitution,Legalizing sex work will make the profession safer for women
76,We_should_legalize_prostitution,Legalizing sex work will make the profession safer for women
77,We_should_legalize_prostitution,Legalizing sex work will make the profession safer for women
78,We_should_legalize_prostitution,Legalizing sex work will make the profession safer for women
79,We_should_subsidize_journalism,Government intervention has the risk of inserting bias/harming objectivity
80,We_should_subsidize_journalism,Government intervention has the risk of inserting bias/harming objectivity
81,We_should_subsidize_journalism,Government intervention has the risk of inserting bias/harming objectivity
82,We_should_subsidize_journalism,Government intervention has the risk of inserting bias/harming objectivity
83,We_should_subsidize_journalism,Government intervention has the risk of inserting bias/harming objectivity
84,We_should_subsidize_journalism,Government intervention has the risk of inserting bias/harming objectivity
85,We_should_subsidize_journalism,Government intervention has the risk of inserting bias/harming objectivity
