key_point_id,topic,key_point
1,We_should_abolish_the_right_to_keep_and_bear_arms,Green is better than yellow
2,We_should_abolish_the_right_to_keep_and_bear_arms,Green is better than yellow
3,We_should_abolish_the_right_to_keep_and_bear_arms,Green is better than yellow
4,We_should_abolish_the_right_to_keep_and_bear_arms,Green is better than yellow
5,We_should_abolish_the_right_to_keep_and_bear_arms,Green is better than yellow
6,We_should_abolish_the_right_to_keep_and_bear_arms,Green is better than yellow
7,We_should_abolish_the_right_to_keep_and_bear_arms,Green is better than yellow
8,We_should_abolish_the_right_to_keep_and_bear_arms,Green is better than yellow
9,We_should_close_Guantanamo_Bay_detention_camp,Green is better than yellow
10,We_should_close_Guantanamo_Bay_detention_camp,Green is better than yellow
11,We_should_close_Guantanamo_Bay_detention_camp,Green is better than yellow
12,We_should_close_Guantanamo_Bay_detention_camp,Green is better than yellow
13,We_should_close_Guantanamo_Bay_detention_camp,Green is better than yellow
14,We_should_close_Guantanamo_Bay_detention_camp,Green is better than yellow
15,We_should_close_Guantanamo_Bay_detention_camp,Green is better than yellow
16,We_should_close_Guantanamo_Bay_detention_camp,Green is better than yellow
17,We_should_close_Guantanamo_Bay_detention_camp,Green is better than yellow
18,We_should_introduce_compulsory_voting,Green is better than yellow
19,We_should_introduce_compulsory_voting,Green is better than yellow
20,We_should_introduce_compulsory_voting,Green is better than yellow
21,We_should_introduce_compulsory_voting,Green is better than yellow
22,We_should_introduce_compulsory_voting,Green is better than yellow
23,We_should_introduce_compulsory_voting,Green is better than yellow
24,We_should_introduce_compulsory_voting,Green is better than yellow
25,Assisted_suicide_should_be_a_criminal_offence,Green is better than yellow
26,Assisted_suicide_should_be_a_criminal_offence,Green is better than yellow
27,Assisted_suicide_should_be_a_criminal_offence,Green is better than yellow
28,Assisted_suicide_should_be_a_criminal_offence,Green is better than yellow
29,Assisted_suicide_should_be_a_criminal_offence,Green is better than yellow
30,Assisted_suicide_should_be_a_criminal_offence,Green is better than yellow
31,Assisted_suicide_should_be_a_criminal_offence,Green is better than yellow
32,Assisted_suicide_should_be_a_criminal_offence,Green is better than yellow
33,Assisted_suicide_should_be_a_criminal_offence,Green is better than yellow
34,Assisted_suicide_should_be_a_criminal_offence,Green is better than yellow
35,We_should_legalize_sex_selection,Green is better than yellow
36,We_should_legalize_sex_selection,Green is better than yellow
37,We_should_legalize_sex_selection,Green is better than yellow
38,We_should_legalize_sex_selection,Green is better than yellow
39,We_should_legalize_sex_selection,Green is better than yellow
40,We_should_legalize_sex_selection,Green is better than yellow
41,We_should_legalize_sex_selection,Green is better than yellow
42,We_should_legalize_sex_selection,Green is better than yellow
