key_point_id,topic,key_point,topic_original
1,We_should_ban_human_cloning,Gun control is ineffective,We_should_abolish_the_right_to_keep_and_bear_arms
2,We_should_ban_human_cloning,Gun ownership is a right,We_should_abolish_the_right_to_keep_and_bear_arms
3,We_should_ban_human_cloning,Gun ownership is necessary for hunting/sports-shooting,We_should_abolish_the_right_to_keep_and_bear_arms
4,We_should_ban_human_cloning,Gun ownership promotes self protection,We_should_abolish_the_right_to_keep_and_bear_arms
5,We_should_ban_human_cloning,Banning guns would save lives,We_should_abolish_the_right_to_keep_and_bear_arms
6,We_should_ban_human_cloning,Guns can fall into the wrong hands,We_should_abolish_the_right_to_keep_and_bear_arms
7,We_should_ban_human_cloning,Guns lead to accidental deaths,We_should_abolish_the_right_to_keep_and_bear_arms
8,We_should_ban_human_cloning,Gun ownership allows for mass-shootings/general gun violence,We_should_abolish_the_right_to_keep_and_bear_arms
9,We_should_abolish_the_right_to_keep_and_bear_arms,Closing the Guantanamo bay detention camp would harm national security,We_should_close_Guantanamo_Bay_detention_camp
10,We_should_abolish_the_right_to_keep_and_bear_arms,The Guantanamo bay detention camp is better for prisoners than the alternatives,We_should_close_Guantanamo_Bay_detention_camp
11,We_should_abolish_the_right_to_keep_and_bear_arms,The Guantanamo bay detention camp is essential to gain intelligence,We_should_close_Guantanamo_Bay_detention_camp
12,We_should_abolish_the_right_to_keep_and_bear_arms,Detainees have the right to trial in US courts,We_should_close_Guantanamo_Bay_detention_camp
13,We_should_abolish_the_right_to_keep_and_bear_arms,The Guantanamo bay detention camp harms the US image/reputation/institutions,We_should_close_Guantanamo_Bay_detention_camp
14,We_should_abolish_the_right_to_keep_and_bear_arms,The Guantanamo bay detention camp is expensive,We_should_close_Guantanamo_Bay_detention_camp
15,We_should_abolish_the_right_to_keep_and_bear_arms,The Guantanamo bay detention camp personnel commit crimes against the prisoners,We_should_close_Guantanamo_Bay_detention_camp
16,We_should_abolish_the_right_to_keep_and_bear_arms,unjust treatment/tactics are used in the Guantanamo bay detention camp,We_should_close_Guantanamo_Bay_detention_camp
17,We_should_abolish_the_right_to_keep_and_bear_arms,The Guantanamo bay detention camp is a symbol of discrimination/injustice,We_should_close_Guantanamo_Bay_detention_camp
18,We_should_abolish_capital_punishment,Abstaining from a vote is also reflecting your preferences,We_should_introduce_compulsory_voting
19,We_should_abolish_capital_punishment,Citizens have a right not to vote,We_should_introduce_compulsory_voting
20,We_should_abolish_capital_punishment,Compulsory voting can cause people to vote in an uninformed/random manner,We_should_introduce_compulsory_voting
21,We_should_abolish_capital_punishment,Not everyone has the ability to go to vote,We_should_introduce_compulsory_voting
22,We_should_abolish_capital_punishment,Compulsory voting increases representation,We_should_introduce_compulsory_voting
23,We_should_abolish_capital_punishment,Compulsory voting will cause more people to become interested in politics,We_should_introduce_compulsory_voting
24,We_should_abolish_capital_punishment,People have an obligation to vote,We_should_introduce_compulsory_voting
25,We_should_abolish_intellectual_property_rights,Assisted suicide gives dignity to the person that wants to commit it,Assisted_suicide_should_be_a_criminal_offence
26,We_should_abolish_intellectual_property_rights,Assisted suicide reduces suffering,Assisted_suicide_should_be_a_criminal_offence
27,We_should_abolish_intellectual_property_rights,People should have the freedom to choose to end their life,Assisted_suicide_should_be_a_criminal_offence
28,We_should_abolish_intellectual_property_rights,The terminally ill would benefit from assisted suicide,Assisted_suicide_should_be_a_criminal_offence
29,We_should_abolish_intellectual_property_rights,Assisted suicide allows people to solicit someone to die to their own benefit,Assisted_suicide_should_be_a_criminal_offence
30,We_should_abolish_intellectual_property_rights,Assisted suicide is akin to killing someone,Assisted_suicide_should_be_a_criminal_offence
31,We_should_abolish_intellectual_property_rights,Assisted suicide should not be allowed because many times people can still get better,Assisted_suicide_should_be_a_criminal_offence
32,We_should_abolish_intellectual_property_rights,Assisted suicide violates the doctor's role,Assisted_suicide_should_be_a_criminal_offence
33,We_should_abolish_intellectual_property_rights,People do not have the right to self-harm/harm others,Assisted_suicide_should_be_a_criminal_offence
34,We_should_abolish_intellectual_property_rights,People who are ill do not have clear judgement and are in need of help,Assisted_suicide_should_be_a_criminal_offence
35,We_should_subsidize_vocational_education,Sex selection can lead to gender imbalance,We_should_legalize_sex_selection
36,We_should_subsidize_vocational_education,Sex selection is against tradition,We_should_legalize_sex_selection
37,We_should_subsidize_vocational_education,Sex selection is expensive,We_should_legalize_sex_selection
38,We_should_subsidize_vocational_education,Sex selection reaffirms gender stereotypes/biases,We_should_legalize_sex_selection
39,We_should_subsidize_vocational_education,Sex selection will create abortions/infanticide,We_should_legalize_sex_selection
40,We_should_subsidize_vocational_education,It is unethical/unhealthy for parents to intervene,We_should_legalize_sex_selection
