key_point_id,topic,stance,key_point
0,Assisted suicide should be a criminal offence,-1,assisted suicide allows terminally ill people to die with dignity and should not be criminalized
1,Assisted suicide should be a criminal offence,-1,"if someone can assist them in ending the suffering, they should be able to."
2,Assisted suicide should be a criminal offence,-1,by not allowing assisted suicide we are making these people suffer deeply which in inhumane.
3,Assisted suicide should be a criminal offence,-1,"for those with degenerative diseases, assisted suicide is often the only solace they have"
4,Assisted suicide should be a criminal offence,-1,assisted suicide should not be a crime since the perpetrator was merely obeying the wishes of another.
5,Assisted suicide should be a criminal offence,1,helping someone to commit suicide is murder and should be criminalized
6,Assisted suicide should be a criminal offence,1,assisted suicide should be a criminal offence because it is morally wrong
7,Assisted suicide should be a criminal offence,1,each person should be treated humanely and encouraged to live their natural life span.
8,Assisted suicide should be a criminal offence,1,assisted suicide could be misused by people who want their weaker partner to die.
9,Assisted suicide should be a criminal offence,1,Helping people die because of tough times in their life is not right.
10,Homeschooling should be banned,-1,homeschooling allows for one on one teaching as well as allowing a student to learn in a safe environment
11,Homeschooling should be banned,-1,homeschooling allows parents to teach using methods that are best suited to their child's way of learning
12,Homeschooling should be banned,-1,homeschooling is good for children that require special one on one learning.
13,Homeschooling should be banned,-1,"as long as the children follow a standardised curriculum, homeschooling can be a rewarding experience for some people."
14,Homeschooling should be banned,-1,homeschooling should not be banned because some children who have been bullied need the safety of home.
15,Homeschooling should be banned,1,homeschooling can lead to children not forming the social bonds with their peers which they should.
16,Homeschooling should be banned,1,homeschooling should be banned because it doesn't provide the best learning environment for children
17,Homeschooling should be banned,1,homeschooling robs children of very valuable socialization.
18,Homeschooling should be banned,1,homeschooling is not regulated so students could miss out on important lessons.
19,Homeschooling should be banned,1,"parents don't have the knowledge, skills and training to properly educate, this leads to children being unsuccessful in life."
20,Routine child vaccinations should be mandatory,-1,"As long as vaccines are not free of side effects, it cannot make them mandatory for our children."
21,Routine child vaccinations should be mandatory,-1,Children should not be vaccinated because they can have serious side effects
22,Routine child vaccinations should be mandatory,-1,childhood vaccination should not be mandatory because it can cause autism
23,Routine child vaccinations should be mandatory,-1,on the other hand there may be deadly side effects
24,Routine child vaccinations should be mandatory,-1,"The child population has a low degree of vulnerability, so vaccination is not urgent yet"
25,Routine child vaccinations should be mandatory,1,"Routine infallible vaccinations are mandatory, that way we avoid the spread and make our children immune from any disease."
26,Routine child vaccinations should be mandatory,1,"Vaccination is a safe and effective way to prevent disease and save lives, today more than ever."
27,Routine child vaccinations should be mandatory,1,Infant vaccination should be mandatory so we avoid infant mortality
28,Routine child vaccinations should be mandatory,1,If we don't vaccinate children then we will never be able to fully eradicate diseases from the population.
29,Routine child vaccinations should be mandatory,1,"By refusing vaccination, parents increase the risk that their child (and themselves) will harm others."
30,Social media platforms should be regulated by the government,-1,Social media platform should not be regulated by the government because it undermines freedom of speech
31,Social media platforms should be regulated by the government,-1,Social media platforms should not be regulated by the government because crimes can't be committed on the internet
32,Social media platforms should be regulated by the government,-1,"Social media is simply harmless fun, which entertains people and should not be regulated."
33,Social media platforms should be regulated by the government,-1,The only logical way to approach internet regulation is to do so from social consensus.
34,Social media platforms should be regulated by the government,1,Social media should be regulated by the government to prevent them from promoting dangerous activities and ideologies.
35,Social media platforms should be regulated by the government,1,if necessary to be able to control the abuse that occurs
36,Social media platforms should be regulated by the government,1,but with great care not to invade the personal space of the users
37,Social media platforms should be regulated by the government,1,social media must be regulated because many children view unwanted information online
38,Social media platforms should be regulated by the government,1,"If it should be regulated, many accidents and evils would be avoided"
39,The USA is a good country to live in,-1,The United States  has long been a hotbed of racism against minority cultures
40,The USA is a good country to live in,-1, The poorest in society don't have access to either good health care or an adequate benefits system.
41,The USA is a good country to live in,-1,The USA is a very capitalist country; it does not provide universal health care or education for its citizens.
42,The USA is a good country to live in,1,"Bountiful food, good healthcare, stable government and personal citizens freedoms and rights."
43,The USA is a good country to live in,1,United States is a free speech and democratic country.
44,The USA is a good country to live in,1,Security and safety in work place as well as neighborhood is good.
45,The USA is a good country to live in,1,"for their quality of life, for their economy"
46,The USA is a good country to live in,1,The USA provides many benefits to their citizens that no other country has.
47,The vow of celibacy should be abandoned,-1,the vow of celibacy strengthens one's relationship to god without carnal distractions.
48,The vow of celibacy should be abandoned,-1,"the vow of celibacy, and those who choose to make that vow, should be respected."
49,The vow of celibacy should be abandoned,-1,Celibacy promotes discipline and the love of God in clergy and should be maintained.
50,The vow of celibacy should be abandoned,-1,"some religions, such as roman catholicism, choose to require celibacy in their fully-ordained ministers, male or female."
51,The vow of celibacy should be abandoned,-1,priests need to be celibate in order to fully focus on the monumental task of serving their people.
52,The vow of celibacy should be abandoned,1,the vow of celibacy is outdated and causing destructive temptation in the clergy.
53,The vow of celibacy should be abandoned,1,the vow of celibacy should be abandoned to prevent such unattainable pressures being placed upon religious leaders
54,The vow of celibacy should be abandoned,1,The vow of celibacy is an outdated concept that causes unnecessary stress on those who take them.
55,The vow of celibacy should be abandoned,1,the vow of celibacy is outdated and unrealistic for a majority of the people
56,The vow of celibacy should be abandoned,1,the vow of celibacy should be abandoned because it represents a major barrier to men considering entering the priesthood
57,We should abandon marriage,-1,marriage is still important when recognised in law and brings stability to a family.
58,We should abandon marriage,-1,marriage provides a stable and secure home for the children and should not be abandoned.
59,We should abandon marriage,-1,marriage is between consenting adults and harms no one else.
60,We should abandon marriage,-1,"marriage is a wholesome, normal act that teaches family values."
61,We should abandon marriage,-1,Marriage is a way for a couple to deepen their bonds to each other.
62,We should abandon marriage,1,marriage is antiquated and not necessary for couples who are committed to each other.
63,We should abandon marriage,1,marriage is an antiquated convention based upon religion that the government should not support via financial incentives.
64,We should abandon marriage,1,The institution of marriage has deteriorated over the last century and has little value aside from legal benefits.
65,We should abandon marriage,1,"with divorce rates up so high, we should abandon marriage as an archaic and broken tradition."
66,We should abandon marriage,1,marriage is an institution founded on the outdated notion that women are property and should be discontinued
67,We should abandon the use of school uniform,-1,school uniforms are important to keep students the same and prevents prejudices
68,We should abandon the use of school uniform,-1,"school uniforms help stop bullying because when people are similarly dressed, nobody is made to feel inferior."
69,We should abandon the use of school uniform,-1,school uniforms help to prevent certain types of bullying
70,We should abandon the use of school uniform,-1,school uniforms can provide a sense of community to students that can bolster learning and should not be abandoned
71,We should abandon the use of school uniform,-1,School uniforms encourage students to express themselves in ways other than by the clothes they wear.
72,We should abandon the use of school uniform,1,the use of school uniforms ruins the students ability to express their individuality.
73,We should abandon the use of school uniform,1,school uniforms impose an additional cost burden on families from disadvantaged backgrounds who may be struggling
74,We should abandon the use of school uniform,1,"school uniforms enforce conformity, which harms the creative instincts of young people"
75,We should abandon the use of school uniform,1,School uniforms compromise free public school education by creating an additional cost.
76,We should abandon the use of school uniform,1,School uniforms have no beneficial effect on student behavior.
77,We should abolish capital punishment,-1,capital punishment is the only real solution for criminals who commit terrible crimes.
78,We should abolish capital punishment,-1,"capital punishment provides a more effective deterrent that simple fines, penalties or light sentences in prison."
79,We should abolish capital punishment,-1,criminals that have committed terrible crimes should not continue to be a burden to society.
80,We should abolish capital punishment,-1,capital punishment is a real deterant to crime and should not be abolished.
81,We should abolish capital punishment,-1,"capital punishment provides both the ultimate deterrent, and the ultimate penalty, for the most heinous of crimes."
82,We should abolish capital punishment,1,capital punishment is inhumane and often an unfit punishment for the crime
83,We should abolish capital punishment,1,the risk of an innocent person being put to death is too great.
84,We should abolish capital punishment,1,"killing people is wrong, no matter what crime they committed"
85,We should abolish capital punishment,1,"Government violence is more extreme than individual violence, making it so the death penalty is never justified."
86,We should abolish capital punishment,1,Capital punishment often goes wrong and leaves people suffering but still alive.
87,We should abolish intellectual property rights,-1,Intellectual property rights keep people from stealing others' ideas and selling them as their own.
88,We should abolish intellectual property rights,-1,without intellectual property rights creative people may not be able to make a living from their creativity.
89,We should abolish intellectual property rights,-1,"people should have a right of ownership to their creations, ideas, and concepts that they created themselves."
90,We should abolish intellectual property rights,-1,a person uses his imagination and hard work to write as book or music.
91,We should abolish intellectual property rights,-1,intellectual rights are important because they provide incentives for those who do artistic or research work
92,We should abolish intellectual property rights,1,intellectual property rights stifle the widespread use of life enhancing technology so we should abolish them.
93,We should abolish intellectual property rights,1,ip rights enable large corporations to have a stranglehold over creators designs and work and should be abolished
94,We should abolish intellectual property rights,1,"intellectual property rights leads to monopolies, which drives up the prices for consumers."
95,We should abolish intellectual property rights,1,limiting what others can do with a similar idea is not fair and should not be supported.
96,We should abolish intellectual property rights,1,"maintaining intellectual property rights for all is too expensive, and maintaining these rights might restrict innovation in certain sectors."
97,We should abolish the right to keep and bear arms,-1,the right to keep and bear arms is important in keeping people safe in a dangerous and uncertain world
98,We should abolish the right to keep and bear arms,-1,the right to gun ownership is in the bill of rights and held up by the courts
99,We should abolish the right to keep and bear arms,-1,guns are already ubiquitous and outlawing them will only keep them out of the hands of lawful owners.
100,We should abolish the right to keep and bear arms,-1,the ability to defend against them is removed.
101,We should abolish the right to keep and bear arms,-1,if arms are used for personal protection only they can save somebody's life in case of personal attack
102,We should abolish the right to keep and bear arms,1,the right to keep and bear arms has caused too many mass shootings and should be banned.
103,We should abolish the right to keep and bear arms,1,with school shootings getting out of hand we need to make access to guns more difficult.
104,We should abolish the right to keep and bear arms,1,"the fewer guns on the streets, the less chance of gun crime including murder"
105,We should abolish the right to keep and bear arms,1,guns are much too dangerous and often get in the wrong hands
106,We should abolish the right to keep and bear arms,1,firearms in the hands of civilians create societies more prone to violence
107,We should adopt an austerity regime,-1,austerity regimes hurt the common man by reducing support for schools and health care.
108,We should adopt an austerity regime,-1,austerity measures will increase the number of people living in poverty.
109,We should adopt an austerity regime,-1,"Austerity policies can result in lower growth and lower tax revenues, especially in times of recession."
110,We should adopt an austerity regime,-1,austerity regimes disproportionally hit the poorest in society hardest.
111,We should adopt an austerity regime,-1,"adopting an austerity regime may negatively impact the demand side of the economy, hampering economic growth."
112,We should adopt an austerity regime,1,an austerity regime can help restructure a country's debt without increasing the deficit
113,We should adopt an austerity regime,1,having a balanced budget is very important to a country and its well-being.
114,We should adopt an austerity regime,1,an austerity regime is necessary to rein in wasteful spending by the government.
115,We should adopt an austerity regime,1,austerity will reduce the deficit and make the country better off in the long run.
116,We should adopt an austerity regime,1,when the debt becomes too large something has to be done to change direction
117,We should adopt atheism,-1,"Atheism is godless and fundamentally lacking in a coherent moral compass, therefore it should not be adopted."
118,We should adopt atheism,-1,if people believe there is a god the state should not stop them from practising their faith
119,We should adopt atheism,-1,"this nation was founded on christian principles, and to just get rid of them now is a terrible idea."
120,We should adopt atheism,-1,If people were not allowed to practice their own beliefs then mental health issues would rise exponentially.
121,We should adopt atheism,-1,choosing to believe in one or many gods provides peace and purpose for some.
122,We should adopt atheism,1,atheism would alleviate religious intolerance and conflict in society.
123,We should adopt atheism,1,atheism fosters critical thinking and frees the moral ties of citizens by creating a better society
124,We should adopt atheism,1,"most conflicts, whether official wars or not, usually relate back to religious beliefs and convictions."
125,We should adopt atheism,1,religion has been the cause of countless wars so adopting atheism would put a stop to religion based conflict.
126,We should adopt atheism,1,many of the ills of the world derive from religion so we should all be atheist.
127,We should adopt libertarianism,-1,libertarianism is near anarchy with no support for our most vulnerable members of society.
128,We should adopt libertarianism,-1,libertarianism promotes self interest and does not consider the needs of society as a whole
129,We should adopt libertarianism,-1,more government intervention is needed to ensure an equitable base for all of society.
130,We should adopt libertarianism,-1,libertarianism can be dangerous as government intervention is necessary when people make choices that harm themselves or others.
131,We should adopt libertarianism,-1,"adopting libertarianism may lead to less rules and laws, and the onset of anarchy."
132,We should adopt libertarianism,1,libertarianism is the true path to real freedom and autonomy for all
133,We should adopt libertarianism,1,having all problems solved by the free market and individual initiative will lead to a more prosperous society.
134,We should adopt libertarianism,1,"Under libertarianism, governments cannot restrict or coerce individuals into doing something they don't wish to do."
135,We should adopt libertarianism,1,libertarianism frees citizens and business owners from expensive regulations
136,We should adopt libertarianism,1,in practicing libertarianism we would adopt philosophical and financial customs that would improve our quality of life
137,We should ban human cloning,-1,human cloning can aid in research for medical issues as well as preserving the continuation of humankind.
138,We should ban human cloning,-1,human cloning can lead to discoveries that could cure some of the most fatal illnesses we have.
139,We should ban human cloning,-1,human cloning will save millions of lives by using them as experimental subjects or for organ donation
140,We should ban human cloning,-1,human cloning would enable advances in medical research and shouldn't be banned.
141,We should ban human cloning,-1,scientific advancements made while working towards cloning can advance the human race.
142,We should ban human cloning,1,cloning human beings goes against nature with which we could have serious consequences in the future
143,We should ban human cloning,1,cloning an individual human is dangerous to the individuality of both original and clone.
144,We should ban human cloning,1,science does not know enough about genes to ensure they wont mutate into a catastrophic anomaly.
145,We should ban human cloning,1,human cloning should be banned because the ethical problems it creates are too difficult to overcome
146,We should ban human cloning,1,human cloning is very open to abuse and could be used for the wrong things
147,We should ban private military companies,-1,private military companies provide essential services to the armed services so should be retained.
148,We should ban private military companies,-1,private military companies do a good service by providing security where needed
149,We should ban private military companies,-1,private military companies provide valuable services in areas that are not served by enough military personnel
150,We should ban private military companies,-1,"when there is a shortage of military manpower, private military companies can fill the gaps."
151,We should ban private military companies,-1,private military companies serve a purpose especially in war torn areas and a lot of military veterans
152,We should ban private military companies,1,A private company's main interest is to profit and this can lead to bad practices or even corruption.
153,We should ban private military companies,1,private military companies have no governmental controls and can do more harm then good.
154,We should ban private military companies,1,private military companies perpetuate war and should be banned
155,We should ban private military companies,1,private military companies receive government funds without sufficient government oversight.
156,We should ban private military companies,1,military companies put their employees at unnecessary risk and should be banned
157,We should ban the use of child actors,-1,children under the supervision of their parents can develop their artistic talent without affecting their personal growth
158,We should ban the use of child actors,-1,as long as the child is not forced and wants to act then they should be allowed
159,We should ban the use of child actors,-1,"child actors are able to access school work on set, and have a protected upbringing."
160,We should ban the use of child actors,-1,the use of child actors is well regulated enough that there are no serious harms.
161,We should ban the use of child actors,-1,child actors are important so programs can show people of ages and are reflective of society.
162,We should ban the use of child actors,1,"child actors are exploited both by parents and the video industry, children should study and grow without working"
163,We should ban the use of child actors,1,child actors are often forced to grow up too fast in a way that stunts their development permanently.
164,We should ban the use of child actors,1,"child actors do not get a proper education and as such, the use of child actors should be banned"
165,We should ban the use of child actors,1,child actors become adults far too quickly and should not be allowed to act until they are adults
166,We should ban the use of child actors,1,children are naive and are often manipulated or not given fair compensation
167,We should close Guantanamo Bay detention camp,-1,guantanamo bay provides a safe place to house those people who pose a real threat to national security.
168,We should close Guantanamo Bay detention camp,-1,guantanamo bay has been useful in extracting information from enemy combatants and should not be closed.
169,We should close Guantanamo Bay detention camp,-1,guantanamo bay houses some of the most dangerous criminals in the world.
170,We should close Guantanamo Bay detention camp,-1,"guantanamo bay exists to remove dangerous terrorists from the outside world, eliminated their ability to recruit and plan attacks."
171,We should close Guantanamo Bay detention camp,-1,Guantanamo Bay operates in accordance with international legal standards.
172,We should close Guantanamo Bay detention camp,1,the inhumane activities in guantanamo bay detention camp must come to an end.
173,We should close Guantanamo Bay detention camp,1,Guantanamo Bay undemocratically burdens US citizens in terms of both liberties and finances
174,We should close Guantanamo Bay detention camp,1,prisoners held here are often tortured illegally.
175,We should close Guantanamo Bay detention camp,1,Guantanamo Bay is a stain on America's reputation as a lawful and just country.
176,We should close Guantanamo Bay detention camp,1,instead of keeping prisoners contained we must exterminate.
