key_point_id,topic,key_point
1,Assisted suicide should be a criminal offence,assisted suicide is another type of murder.
2,Assisted suicide should be a criminal offence,assisted suicide would save terminally i'll people pain and suffering.
3,Assisted suicide should be a criminal offence,people should have the right to die if they choose.
4,Assisted suicide should be a criminal offence,if assisted suicide is a crime they may have to endure many more years living in agony.
5,Assisted suicide should be a criminal offence,"assisted suicide should not be a criminal offense because if someone is in enough pain and is sane enough to decide, they should have that choice."
6,Assisted suicide should be a criminal offence,suicide should never be allowed and helping a person should be treated as murder.
7,Assisted suicide should be a criminal offence,people may easily be manipulated into being a victim of assisted suicide by relatives with alterior motives
8,Assisted suicide should be a criminal offence,assisted suicide goes directly against the oath taken by doctors to do no harm.
9,Assisted suicide should be a criminal offence,if somebody is going to commit suicide anyway they should be able to do it safely with assistance
10,Assisted suicide should be a criminal offence,this would protect someone who's judgement may be impaired
1,Homeschooling should be banned,homeschooling strips children of necessary socialization
2,Homeschooling should be banned,parents know what is best for their children.
3,Homeschooling should be banned,homeschooling is good for children that require special one on one learning.
4,Homeschooling should be banned,families should have the continued option of homeschooling because bullying in schools and such exists.
5,Homeschooling should be banned,homeschooling keeps children from learning to work in a group
6,Homeschooling should be banned,homeschooling eschews the normal standards adhered to in the school system and does the child a disservice in terms of education.
7,Homeschooling should be banned,homeschooling is best for children where the schools in the area are not conducive to learning
8,Homeschooling should be banned,we should continue to support homeschooling as it gives children another form of education when other forms do not work.
9,Homeschooling should be banned,not every parent is capable of adequately educating their child.
10,Homeschooling should be banned,homeschooling is not regulated enough.
1,The vow of celibacy should be abandoned,the vow of celibacy should not be abandoned because it is part of some religions
2,The vow of celibacy should be abandoned,to move with the modern times the vow of celibacy should be abandoned.
3,The vow of celibacy should be abandoned,the vow of celibacy should not be abandoned because people have the right to not enter into a marital or sexual relationship.
4,The vow of celibacy should be abandoned,celibacy is a state of purity the church should maintain as a devotion to god.
5,The vow of celibacy should be abandoned,"the vow of celibacy should be abandoned, repressing human nature has led to abuse and desperation"
