key_point_id,topic,key_point
1,Assisted suicide should be a criminal offence.,Assisted suicide is a form of murder
2,Assisted suicide should be a criminal offence.,Assisted suicide is illegal
3,Assisted suicide should be a criminal offence.,Assisted suicide is a scam
4,Assisted suicide should be a criminal offence.,Assisted suicide is a crime
5,Assisted suicide should be a criminal offence.,Assisted suicide allows people to choose to end their life
6,Assisted suicide should be a criminal offence.,People should be able to choose to end their life
7,Assisted suicide should be a criminal offence.,Assisted suicide allows people to have dignity in death
8,Assisted suicide should be a criminal offence.,Assisted suicide is cruel
9,Homeschooling should be banned.,Homeschooling is detrimental to social development
10,Homeschooling should be banned.,Homeschooling is detrimental to the child's social development
11,Homeschooling should be banned.,Homeschooling is better for children
12,Homeschooling should be banned.,Homeschooling can be tailored to individual needs
13,Homeschooling should be banned.,Homeschooling is harmful to children
14,Homeschooling should be banned.,Homeschooling is beneficial for children who are bullied
15,Homeschooling should be banned.,Homeschooling is a good choice for children
16,Homeschooling should be banned.,Parents are not educated enough
17,Homeschooling should be banned.,Parents should have the choice to educate their children
18,The vow of celibacy should be abandoned.,Celibacy is outdated
19,The vow of celibacy should be abandoned.,The vow of celibacy should be abandoned
20,The vow of celibacy should be abandoned.,Celibacy allows priests to focus on their work
21,The vow of celibacy should be abandoned.,Celibacy is unnatural
22,The vow of celibacy should be abandoned.,Priests are human
23,The vow of celibacy should be abandoned.,Celibacy strengthens one's relationship with God
24,The vow of celibacy should be abandoned.,Celibacy is a personal choice
25,The vow of celibacy should be abandoned.,Celibacy is sacred and should be respected
26,We should abandon marriage.,Marriages are bad for the economy
27,We should abandon marriage.,Marriage is outdated/unhelpful
28,We should abandon marriage.,Marriages are good for children
29,We should abandon marriage.,Marriages are outdated
30,We should abandon marriage.,Marriages are important
31,We should abandon marriage.,Marriage is beneficial for children
32,We should abandon marriage.,Marriage is a stable environment
33,We should abandon marriage.,Marriage is outdated
34,We should abandon the use of school uniform.,School uniforms reinforce gender stereotypes
35,We should abandon the use of school uniform.,School uniforms restrict freedom of expression
36,We should abandon the use of school uniform.,School uniforms are cheaper
37,We should abandon the use of school uniform.,School uniforms help students focus on learning
38,We should abandon the use of school uniform.,School uniforms reduce bullying
39,We should abandon the use of school uniform.,School uniforms prevent bullying
40,We should abandon the use of school uniform.,School uniforms are a good choice
41,We should abandon the use of school uniform.,School uniforms are a good way to teach children about gender equality
42,We should abandon the use of school uniform.,School uniforms are restrictive
43,We should abolish capital punishment.,The death penalty is ineffective in deterring crime
44,We should abolish capital punishment.,The death penalty is effective in preventing crime
45,We should abolish capital punishment.,The death penalty is unjust
46,We should abolish capital punishment.,The death penalty is effective in deterring crime
47,We should abolish capital punishment.,The death penalty violates human rights
48,We should abolish capital punishment.,The death penalty is unfair
49,We should abolish capital punishment.,The death penalty is necessary to punish criminals
50,We should abolish capital punishment.,The death penalty is fair
51,We should abolish capital punishment.,The death penalty is expensive
52,We should abolish capital punishment.,The death penalty is cruel and inhumane
53,We should abolish intellectual property rights.,Intellectual property rights are expensive
54,We should abolish intellectual property rights.,Intellectual property rights restrict innovation/innovation
55,We should abolish intellectual property rights.,Intellectual property rights protect the rights of inventors/inventors
56,We should abolish intellectual property rights.,Intellectual property rights prevent stealing
57,We should abolish intellectual property rights.,Intellectual property rights protect intellectual property
58,We should abolish intellectual property rights.,Intellectual property rights restrict innovation
59,We should abolish intellectual property rights.,Intellectual property rights encourage innovation
60,We should abolish intellectual property rights.,Intellectual property rights encourage creativity
61,We should abolish intellectual property rights.,Intellectual property rights are beneficial for the creators
62,We should abolish the right to keep and bear arms.,The right to bear arms reduces violence
63,We should abolish the right to keep and bear arms.,Arms are a weapon
64,We should abolish the right to keep and bear arms.,Gun violence is a problem
65,We should abolish the right to keep and bear arms.,The right to bear arms is a constitutional right
66,We should abolish the right to keep and bear arms.,People have the right to bear arms
67,We should abolish the right to keep and bear arms.,People should be able to defend themselves
68,We should abolish the right to keep and bear arms.,The right to bear arms is necessary to protect ourselves
69,We should abolish the right to keep and bear arms.,People should have the right to bear arms
70,We should adopt an austerity regime.,austerity is bad for the economy
71,We should adopt an austerity regime.,Austerity policies are needed to reduce budget deficits
72,We should adopt an austerity regime.,austerity is necessary to reduce government debt
73,We should adopt an austerity regime.,austerity measures will reduce government debt
74,We should adopt an austerity regime.,austerity measures will help reduce debt
75,We should adopt an austerity regime.,Governments should cut spending
76,We should adopt an austerity regime.,austerity harms the poor
77,We should adopt an austerity regime.,austerity will increase poverty
78,We should adopt atheism.,Atheism violates people's freedom of religion
79,We should adopt atheism.,Atheism reduces religious biases/contempt/discrimination
80,We should adopt atheism.,Atheism is the best option for people who want to avoid religion
81,We should adopt atheism.,Atheism reduces religious intolerance/violence
82,We should adopt atheism.,Atheism is the best option because there is no evidence for god
83,We should adopt atheism.,Atheism is beneficial for peace
84,We should adopt atheism.,Atheism is harmful to society
85,We should adopt atheism.,Religions cause conflicts/discord
86,We should adopt atheism.,Atheism violates freedom of religion
87,We should adopt atheism.,Atheism encourages bad habits
88,We should adopt libertarianism.,Libertarianism is a good thing
89,We should adopt libertarianism.,Libertarianism is a form of freedom
90,We should adopt libertarianism.,Libertarianism promotes freedom of choice
91,We should adopt libertarianism.,Libertarianism is selfish
92,We should adopt libertarianism.,Libertarianism is bad for the economy
93,We should adopt libertarianism.,Libertarianism is necessary to reduce government interference
94,We should adopt libertarianism.,Libertarianism is a bad idea
95,We should adopt libertarianism.,Libertarianism is harmful to the majority
96,We should adopt libertarianism.,Libertarianism is harmful for the poor
97,We should ban human cloning.,Cloning is a dangerous and potentially dangerous procedure
98,We should ban human cloning.,Cloning is harmful to the environment
99,We should ban human cloning.,Cloning is harmful to the human body
100,We should ban human cloning.,Cloning is against the law
101,We should ban human cloning.,Cloning can help cure diseases
102,We should ban human cloning.,Cloning can lead to medical breakthroughs
103,We should ban human cloning.,Cloning is beneficial for humanity
104,We should ban human cloning.,Cloning can help transplant patients
105,We should ban private military companies.,Private military companies have their own agendas
106,We should ban private military companies.,Private military companies can be harmful
107,We should ban private military companies.,Private military companies rely on government funding
108,We should ban private military companies.,Private military companies provide the military with the weapons it needs
109,We should ban private military companies.,Private military companies are in the business of making money
110,We should ban private military companies.,Private military companies are necessary for the military
111,We should ban private military companies.,Private military companies are not accountable
112,We should ban private military companies.,Private military companies are necessary for missions
113,We should ban private military companies.,Private military companies save money
114,We should ban private military companies.,Private military companies are less accountable
115,We should ban the use of child actors.,Child performers are exploited
116,We should ban the use of child actors.,Child actors are exposed to drugs/alcohol
